Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
D,1/1/2018 8:35:00 AM,American Airlines,690,A26,4
D,1/1/2018 8:35:00 AM,Southwest Airlines,5794,C16,4
A,1/1/2018 8:39:00 AM,American Airlines,938,A7,4
D,1/1/2018 8:40:00 AM,Southwest Airlines,1353,D5,4
A,1/1/2018 8:42:00 AM,American Airlines,665,A6,4
A,1/1/2018 8:43:00 AM,American Airlines,595,A11,4
D,1/1/2018 8:45:00 AM,Delta Air Lines,951,17,3
A,1/1/2018 8:45:00 AM,American Airlines,646,A11,4
A,1/1/2018 8:46:00 AM,American Airlines,1598,B7,4
A,1/1/2018 8:49:00 AM,American Airlines,5817,B1A,4
D,1/1/2018 8:50:00 AM,American Airlines,412,B14,4
A,1/1/2018 8:51:00 AM,American Airlines,761,A5,4
A,1/1/2018 8:51:00 AM,American Airlines,106,A18,4
A,1/1/2018 8:52:00 AM,American Airlines,578,B6,4
A,1/1/2018 8:53:00 AM,American Airlines,5760,B19,4
D,1/1/2018 8:55:00 AM,American Airlines,5957,B16,4
D,1/1/2018 8:55:00 AM,Southwest Airlines,1361,C3,4
A,1/1/2018 8:55:00 AM,American Airlines,1835,B24,4
A,1/1/2018 8:56:00 AM,American Airlines,5763,B1,4
A,1/1/2018 8:58:00 AM,American Airlines,3068,B9,4
A,1/1/2018 8:58:00 AM,American Airlines,3071,B5,4
A,1/2/2018 12:50:00 AM,Southwest Airlines,5048,,4
A,1/2/2018 12:55:00 AM,Southwest Airlines,1502,,4
A,1/2/2018 12:55:00 AM,Southwest Airlines,6098,,4
D,1/2/2018 1:10:00 AM,Delta Air Lines,1744,19,3
A,1/2/2018 1:15:00 AM,Southwest Airlines,1563,C9,4
A,1/2/2018 1:25:00 AM,Southwest Airlines,5828,,4
D,1/2/2018 1:35:00 AM,Delta Air Lines,647,16,3
A,1/2/2018 1:40:00 AM,Southwest Airlines,5285,,4
D,1/2/2018 1:45:00 AM,American Airlines,1556,A12,4
A,1/2/2018 1:45:00 AM,Southwest Airlines,1925,,4
D,1/2/2018 1:57:00 AM,Spirit Airlines,972,2,2
D,1/2/2018 2:20:00 AM,American Airlines,655,A13,4
A,1/2/2018 3:25:00 AM,American Airlines,9207,A22,4
D,1/2/2018 5:00:00 AM,American Airlines,605,A13,4
D,1/2/2018 5:00:00 AM,Southwest Airlines,6755,C3,4
D,1/2/2018 5:05:00 AM,Southwest Airlines,3190,C18,4
D,1/2/2018 5:15:00 AM,United Airlines,859,6A,2
D,1/2/2018 5:25:00 AM,United Airlines,265,7,2
D,1/2/2018 5:40:00 AM,Southwest Airlines,3217,D5,4
D,1/2/2018 6:00:00 AM,American Airlines,632,A5,4
D,1/2/2018 6:00:00 AM,Alaska Airlines,959,10,2
D,1/2/2018 6:00:00 AM,Southwest Airlines,877,D3,4
D,1/2/2018 6:00:00 AM,Southwest Airlines,6159,C16,4
D,1/2/2018 6:00:00 AM,Southwest Airlines,6206,C2,4
D,1/2/2018 6:00:00 AM,Southwest Airlines,6215,D4,4
D,1/2/2018 6:00:00 AM,Southwest Airlines,6663,D1,4
A,1/2/2018 6:04:00 AM,American Airlines,673,A24,4
D,1/2/2018 6:05:00 AM,United Airlines,582,8,2
D,1/2/2018 6:05:00 AM,Southwest Airlines,1748,C9,4
D,1/2/2018 6:10:00 AM,American Airlines,691,A20,4
D,1/2/2018 6:10:00 AM,Southwest Airlines,6970,D6,4
D,1/2/2018 6:11:00 AM,United Airlines,1774,3,2
D,1/2/2018 6:13:00 AM,United Airlines,1600,6A,2
D,1/2/2018 6:20:00 AM,American Airlines,1061,A9,4
D,1/2/2018 6:20:00 AM,Frontier Airlines,740,20,3
D,1/2/2018 6:25:00 AM,Delta Air Lines,2162,16,3
D,1/2/2018 4:45:00 AM,Southwest Airlines,8610,D6,4
D,1/2/2018 6:15:00 AM,Southwest Airlines,8618,C4,4
D,1/2/2018 6:35:00 AM,United Airlines,781,5,2
D,1/2/2018 6:40:00 AM,American Airlines,2996,B3,4
D,1/2/2018 6:40:00 AM,Southwest Airlines,6756,C8,4
A,1/2/2018 6:40:00 AM,Southwest Airlines,5437,D6,4
D,1/2/2018 6:45:00 AM,Alaska Airlines,631,11,2
D,1/2/2018 6:50:00 AM,Delta Air Lines,5687,23,3
D,1/2/2018 6:50:00 AM,Southwest Airlines,8604,C13,4
A,1/2/2018 6:58:00 AM,American Airlines,693,B25,4
D,1/2/2018 7:00:00 AM,Delta Air Lines,824,15,3
D,1/2/2018 7:00:00 AM,Delta Air Lines,1731,19,3
D,1/2/2018 7:00:00 AM,Delta Air Lines,1994,18,3
D,1/2/2018 7:00:00 AM,Frontier Airlines,1442,26,3
D,1/2/2018 7:00:00 AM,Southwest Airlines,781,C18,4
D,1/2/2018 7:00:00 AM,Southwest Airlines,4190,C17,4
D,1/2/2018 7:05:00 AM,Southwest Airlines,6971,C19,4
A,1/2/2018 7:05:00 AM,Southwest Airlines,823,C13,4
D,1/2/2018 7:15:00 AM,Delta Air Lines,5760,16,3
D,1/2/2018 7:15:00 AM,Southwest Airlines,8622,C2,4
D,1/2/2018 7:25:00 AM,Southwest Airlines,770,D6,4
D,1/2/2018 7:25:00 AM,Southwest Airlines,6265,C7,4
D,1/1/2018 10:00:00 AM,Delta Air Lines,8937,23,3
D,1/2/2018 7:30:00 AM,United Airlines,2083,8,2
D,1/2/2018 7:30:00 AM,American Airlines,570,B14,4
D,1/2/2018 7:30:00 AM,Frontier Airlines,1880,25,3
D,1/2/2018 7:30:00 AM,Hawaiian Airlines,35,24,3
A,1/2/2018 7:30:00 AM,Southwest Airlines,2100,C6,4
D,1/2/2018 7:30:00 AM,Southwest Airlines,8626,C1,4
A,1/2/2018 7:39:00 AM,American Airlines,670,A9,4
A,1/2/2018 7:39:00 AM,American Airlines,553,A5,4
A,1/2/2018 7:39:00 AM,American Airlines,3056,B1A,4
D,1/2/2018 7:40:00 AM,Southwest Airlines,5133,D2,4
