Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
A,1/11/2018 1:35:00 PM,Southwest Airlines,793,C11,4
A,1/11/2018 1:35:00 PM,Southwest Airlines,47,C7,4
D,1/11/2018 1:36:00 PM,American Airlines,5912,B1A,4
A,1/11/2018 1:36:00 PM,American Airlines,2004,A18,4
D,1/11/2018 1:37:00 PM,American Airlines,689,B14,4
D,1/11/2018 1:39:00 PM,Alaska Airlines,659,10,2
D,1/11/2018 1:40:00 PM,American Airlines,2047,A2,4
A,1/11/2018 1:40:00 PM,Southwest Airlines,285,C8,4
A,1/11/2018 1:43:00 PM,American Airlines,2548,A12,4
A,1/11/2018 1:44:00 PM,American Airlines,2974,A1,4
A,1/11/2018 1:44:00 PM,American Airlines,5785,B21,4
D,1/11/2018 1:45:00 PM,American Airlines,5919,B21,4
D,1/11/2018 1:45:00 PM,Sun Country Airlines,602,1,2
A,1/11/2018 1:45:00 PM,American Airlines,3040,B3,4
A,1/11/2018 1:45:00 PM,Southwest Airlines,5881,D6,4
A,1/11/2018 1:48:00 PM,American Airlines,1155,B6,4
A,1/11/2018 1:48:00 PM,American Airlines,1714,A5,4
A,1/11/2018 1:48:00 PM,American Airlines,478,A6,4
A,1/11/2018 1:49:00 PM,American Airlines,5892,B1,4
A,1/11/2018 1:49:00 PM,American Airlines,5832,B20,4
D,1/11/2018 1:50:00 PM,American Airlines,410,A10,4
D,1/11/2018 1:50:00 PM,WestJet,1403,B28,4
A,1/11/2018 1:50:00 PM,Southwest Airlines,206,D7,4
A,1/11/2018 1:53:00 PM,American Airlines,549,A20,4
D,1/11/2018 1:55:00 PM,American Airlines,1154,A4,4
A,1/11/2018 1:55:00 PM,American Airlines,835,A7,4
A,1/11/2018 1:55:00 PM,Southwest Airlines,5926,D2,4
D,1/11/2018 1:56:00 PM,American Airlines,680,A24,4
A,1/11/2018 1:57:00 PM,American Airlines,2617,A13,4
A,1/11/2018 1:57:00 PM,American Airlines,3133,B15B,4
A,1/11/2018 1:57:00 PM,American Airlines,3190,B18,4
A,1/11/2018 1:58:00 PM,American Airlines,1925,B4,4
A,1/11/2018 1:58:00 PM,American Airlines,5840,B15A,4
A,1/11/2018 1:59:00 PM,American Airlines,6004,B19,4
A,1/11/2018 1:59:00 PM,American Airlines,679,A22,4
D,1/11/2018 2:00:00 PM,Southwest Airlines,2020,D8,4
D,1/11/2018 2:00:00 PM,Southwest Airlines,2216,C16,4
D,1/11/2018 2:00:00 PM,WestJet,1771,B27,4
A,1/11/2018 2:00:00 PM,American Airlines,5757,B1A,4
A,1/11/2018 2:00:00 PM,American Airlines,5906,B2,4
A,1/11/2018 2:00:00 PM,Southwest Airlines,444,C4,4
A,1/11/2018 2:00:00 PM,Southwest Airlines,1961,C17,4
A,1/11/2018 2:05:00 PM,American Airlines,3079,B5,4
A,1/11/2018 2:05:00 PM,Southwest Airlines,591,C9,4
D,1/11/2018 2:10:00 PM,Southwest Airlines,1838,C9,4
D,1/11/2018 2:10:00 PM,Southwest Airlines,47,C7,4
A,1/11/2018 2:10:00 PM,Southwest Airlines,6118,D4,4
A,1/11/2018 2:11:00 PM,United Airlines,1859,3,2
A,1/11/2018 2:14:00 PM,American Airlines,1826,A17,4
D,1/11/2018 2:15:00 PM,Delta Air Lines,743,19,3
D,1/11/2018 2:15:00 PM,Air Canada,1841,B25,4
D,1/11/2018 2:15:00 PM,Southwest Airlines,259,C13,4
D,1/11/2018 2:18:00 PM,Alaska Airlines,581,11,2
A,1/11/2018 2:19:00 PM,American Airlines,5901,B22,4
D,1/11/2018 2:20:00 PM,Southwest Airlines,793,C11,4
A,1/11/2018 2:20:00 PM,Southwest Airlines,123,C6,4
A,1/11/2018 2:20:00 PM,Southwest Airlines,1956,C1,4
A,1/11/2018 2:22:00 PM,Delta Air Lines,1769,17,3
D,1/11/2018 2:25:00 PM,Southwest Airlines,285,C8,4
A,1/11/2018 2:25:00 PM,Southwest Airlines,6107,C19,4
D,1/11/2018 2:26:00 PM,American Airlines,413,A14,4
D,1/11/2018 2:27:00 PM,Delta Air Lines,1772,23,3
D,1/11/2018 2:30:00 PM,American Airlines,3040,B3,4
D,1/11/2018 2:30:00 PM,American Airlines,2974,B9,4
D,1/11/2018 2:30:00 PM,American Airlines,638,B10,4
D,1/11/2018 2:30:00 PM,Southwest Airlines,5882,D6,4
D,1/11/2018 2:35:00 PM,Southwest Airlines,5926,D2,4
D,1/11/2018 2:36:00 PM,United Airlines,2135,5,2
A,1/11/2018 2:39:00 PM,Delta Air Lines,1166,16,3
D,1/11/2018 2:40:00 PM,American Airlines,5755,B22,4
A,1/11/2018 2:40:00 PM,Southwest Airlines,6267,C13,4
A,1/11/2018 2:40:00 PM,Southwest Airlines,17,D5,4
A,1/11/2018 2:40:00 PM,Southwest Airlines,792,C16,4
D,1/11/2018 2:45:00 PM,American Airlines,450,A5,4
D,1/11/2018 2:45:00 PM,American Airlines,5812,B19,4
D,1/11/2018 2:45:00 PM,American Airlines,5944,B2,4
D,1/11/2018 2:45:00 PM,Southwest Airlines,444,C4,4
A,1/11/2018 2:46:00 PM,WestJet,1532,B27,4
D,1/11/2018 2:48:00 PM,American Airlines,2993,B18,4
D,1/11/2018 2:50:00 PM,American Airlines,835,A6,4
D,1/11/2018 2:50:00 PM,American Airlines,492,A11,4
D,1/11/2018 2:50:00 PM,American Airlines,2602,A25,4
D,1/11/2018 2:50:00 PM,American Airlines,2989,B5,4
D,1/11/2018 2:50:00 PM,American Airlines,3109,A1,4
D,1/11/2018 2:50:00 PM,Southwest Airlines,6028,D7,4
D,1/11/2018 2:50:00 PM,Southwest Airlines,6118,D4,4
D,1/11/2018 2:50:00 PM,Southwest Airlines,1961,C17,4
D,1/11/2018 2:55:00 PM,American Airlines,5959,B1,4
D,1/11/2018 2:55:00 PM,American Airlines,2548,A12,4
D,1/11/2018 2:55:00 PM,Southwest Airlines,5978,C18,4
D,1/11/2018 2:55:00 PM,Southwest Airlines,591,C9,4
A,1/11/2018 2:55:00 PM,American Airlines,623,A3,4
D,1/11/2018 2:56:00 PM,American Airlines,5793,B20,4
A,1/11/2018 2:56:00 PM,American Airlines,3140,B3,4
D,1/11/2018 3:00:00 PM,American Airlines,778,A18,4
D,1/11/2018 3:00:00 PM,American Airlines,5790,B15A,4
D,1/11/2018 3:00:00 PM,Southwest Airlines,1956,C1,4
A,1/11/2018 3:00:00 PM,American Airlines,5838,B16,4
A,1/11/2018 3:03:00 PM,American Airlines,1977,A8,4
A,1/11/2018 3:04:00 PM,American Airlines,1455,A27,4
D,1/11/2018 3:05:00 PM,American Airlines,639,A20,4
D,1/11/2018 3:05:00 PM,American Airlines,1878,B4,4
D,1/11/2018 3:05:00 PM,American Airlines,478,A17,4
D,1/11/2018 3:05:00 PM,Southwest Airlines,5381,C6,4
A,1/11/2018 3:06:00 PM,American Airlines,533,B25,4
D,1/10/2018 2:05:00 PM,Delta Air Lines,5854,15,3
A,1/10/2018 2:10:00 PM,Southwest Airlines,6118,D2,4
D,1/10/2018 2:10:00 PM,Southwest Airlines,1838,D5,4
D,1/10/2018 2:10:00 PM,Southwest Airlines,47,C8,4
A,1/10/2018 2:14:00 PM,American Airlines,1826,A2,4
D,1/10/2018 2:15:00 PM,Delta Air Lines,743,18,3
D,1/10/2018 2:15:00 PM,Southwest Airlines,259,C3,4
A,1/10/2018 2:16:00 PM,United Airlines,1859,6B,2
D,1/10/2018 2:18:00 PM,Alaska Airlines,581,11,2
A,1/10/2018 2:19:00 PM,American Airlines,5901,B22,4
A,1/10/2018 2:20:00 PM,Southwest Airlines,1956,C1,4
A,1/10/2018 2:20:00 PM,Southwest Airlines,123,D7,4
D,1/10/2018 2:20:00 PM,Southwest Airlines,793,D8,4
A,1/10/2018 2:22:00 PM,Delta Air Lines,1769,17,3
A,1/9/2018 8:16:00 PM,Southwest Airlines,9019,C9,4
A,1/10/2018 2:25:00 PM,Southwest Airlines,6107,C6,4
D,1/10/2018 2:25:00 PM,Southwest Airlines,285,C9,4
D,1/10/2018 2:26:00 PM,American Airlines,413,A6,4
D,1/10/2018 2:27:00 PM,Delta Air Lines,1772,23,3
D,1/10/2018 2:30:00 PM,American Airlines,3040,B3,4
D,1/10/2018 2:30:00 PM,American Airlines,2974,B21,4
D,1/10/2018 2:30:00 PM,American Airlines,638,A10,4
D,1/10/2018 2:30:00 PM,Southwest Airlines,5882,C11,4
D,1/10/2018 2:35:00 PM,Southwest Airlines,5926,C14,4
D,1/10/2018 2:36:00 PM,United Airlines,2135,5,2
A,1/10/2018 2:40:00 PM,Southwest Airlines,6267,C7,4
A,1/10/2018 2:40:00 PM,Southwest Airlines,792,D3,4
A,1/10/2018 2:40:00 PM,Southwest Airlines,17,C13,4
D,1/10/2018 2:40:00 PM,American Airlines,5755,B1A,4
D,1/10/2018 2:45:00 PM,American Airlines,450,A4,4
D,1/10/2018 2:45:00 PM,American Airlines,5812,B7,4
D,1/10/2018 2:45:00 PM,American Airlines,5944,B18,4
D,1/10/2018 2:45:00 PM,Southwest Airlines,444,C18,4
D,1/10/2018 2:48:00 PM,American Airlines,2993,B16,4
D,1/10/2018 2:50:00 PM,American Airlines,492,A20,4
D,1/10/2018 2:50:00 PM,American Airlines,3109,B20,4
D,1/10/2018 2:50:00 PM,American Airlines,2602,B14,4
D,1/10/2018 2:50:00 PM,American Airlines,835,A8,4
D,1/10/2018 2:50:00 PM,Southwest Airlines,6028,C16,4
D,1/10/2018 2:50:00 PM,Southwest Airlines,6118,D2,4
D,1/10/2018 2:50:00 PM,Southwest Airlines,1961,C19,4
A,1/10/2018 2:55:00 PM,American Airlines,623,A3,4
D,1/10/2018 2:55:00 PM,American Airlines,5959,A1,4
D,1/10/2018 2:55:00 PM,American Airlines,2548,A25,4
D,1/10/2018 2:55:00 PM,Southwest Airlines,5978,D1,4
D,1/10/2018 2:55:00 PM,Southwest Airlines,591,D6,4
A,1/10/2018 2:56:00 PM,American Airlines,3140,B15A,4
D,1/10/2018 2:56:00 PM,American Airlines,5793,B1,4
A,1/10/2018 2:57:00 PM,Great Lakes Airlines,3032,9,2
A,1/10/2018 3:00:00 PM,American Airlines,5838,B1A,4
D,1/10/2018 3:00:00 PM,American Airlines,778,A18,4
D,1/10/2018 3:00:00 PM,American Airlines,5790,B2,4
D,1/10/2018 3:00:00 PM,Southwest Airlines,1956,C1,4
A,1/10/2018 3:03:00 PM,American Airlines,1977,A4,4
A,1/10/2018 3:04:00 PM,American Airlines,1455,A19,4
D,1/10/2018 3:05:00 PM,American Airlines,639,A21,4
D,1/10/2018 3:05:00 PM,American Airlines,1878,A7,4
D,1/10/2018 3:05:00 PM,American Airlines,478,A2,4
D,1/10/2018 3:05:00 PM,Southwest Airlines,5381,D7,4
A,1/10/2018 3:06:00 PM,American Airlines,533,B25,4
A,1/10/2018 3:09:00 PM,United Airlines,607,3,2
A,1/10/2018 3:10:00 PM,Southwest Airlines,6201,C8,4
D,1/10/2018 3:10:00 PM,American Airlines,1618,A9,4
D,1/10/2018 3:10:00 PM,American Airlines,1826,A5,4
D,1/10/2018 3:10:00 PM,American Airlines,5907,B22,4
A,1/10/2018 3:11:00 PM,Delta Air Lines,5764,15,3
A,1/10/2018 3:15:00 PM,American Airlines,5935,B2,4
A,1/10/2018 3:15:00 PM,Southwest Airlines,1795,D4,4
D,1/10/2018 3:15:00 PM,Southwest Airlines,6267,C7,4
D,1/10/2018 3:15:00 PM,Southwest Airlines,6107,C6,4
A,1/10/2018 3:16:00 PM,American Airlines,793,A12,4
D,1/10/2018 3:20:00 PM,Southwest Airlines,698,C13,4
A,1/10/2018 3:23:00 PM,American Airlines,1214,A25,4
A,1/10/2018 3:23:00 PM,American Airlines,5979,B21,4
A,1/10/2018 3:25:00 PM,American Airlines,5910,B18,4
A,1/10/2018 3:25:00 PM,Southwest Airlines,1665,C17,4
A,1/10/2018 3:25:00 PM,Southwest Airlines,5456,C3,4
D,1/10/2018 3:25:00 PM,Delta Air Lines,1769,17,3
D,1/10/2018 3:25:00 PM,Southwest Airlines,792,D3,4
A,1/10/2018 3:27:00 PM,American Airlines,1543,B14,4
A,1/10/2018 3:27:00 PM,American Airlines,548,A6,4
A,1/10/2018 3:29:00 PM,American Airlines,1712,A7,4
A,1/10/2018 3:29:00 PM,American Airlines,500,A2,4
A,1/10/2018 3:29:00 PM,American Airlines,985,A9,4
D,1/10/2018 3:29:00 PM,United Airlines,235,6B,2
A,1/10/2018 3:30:00 PM,Southwest Airlines,5829,C11,4
A,1/10/2018 3:36:00 PM,American Airlines,634,A10,4
A,1/10/2018 3:38:00 PM,American Airlines,628,A20,4
A,1/10/2018 3:39:00 PM,United Airlines,373,,2
A,1/10/2018 3:40:00 PM,Southwest Airlines,6405,C16,4
A,1/10/2018 3:40:00 PM,Southwest Airlines,2107,D8,4
A,1/10/2018 3:45:00 PM,American Airlines,429,A21,4
A,1/10/2018 3:45:00 PM,American Airlines,1469,A11,4
A,1/10/2018 3:45:00 PM,American Airlines,3030,B3,4
A,1/10/2018 3:45:00 PM,Southwest Airlines,1412,C18,4
D,1/10/2018 3:46:00 PM,Delta Air Lines,5781,15,3
A,1/10/2018 3:47:00 PM,American Airlines,2992,A1,4
D,1/10/2018 3:48:00 PM,United Airlines,1419,7,2
A,1/10/2018 3:49:00 PM,American Airlines,5931,B5,4
A,1/10/2018 3:50:00 PM,Southwest Airlines,151,D7,4
D,1/10/2018 3:50:00 PM,American Airlines,623,A24,4
A,1/10/2018 3:55:00 PM,Southwest Airlines,1496,C1,4
D,1/10/2018 3:55:00 PM,American Airlines,2063,A4,4
D,1/10/2018 3:55:00 PM,American Airlines,3176,B9,4
D,1/10/2018 3:55:00 PM,Southwest Airlines,1795,D4,4
A,1/10/2018 3:58:00 PM,American Airlines,2973,B20,4
A,1/10/2018 4:00:00 PM,Southwest Airlines,1739,D6,4
A,1/9/2018 10:15:00 PM,Southwest Airlines,8516,C1,4
A,1/10/2018 4:04:00 PM,Delta Air Lines,2046,19,3
A,1/10/2018 4:05:00 PM,Southwest Airlines,464,C19,4
D,1/10/2018 4:05:00 PM,Southwest Airlines,6201,C8,4
D,1/10/2018 4:05:00 PM,Southwest Airlines,849,C3,4
D,1/10/2018 4:06:00 PM,United Airlines,1755,3,2
D,1/10/2018 4:10:00 PM,Southwest Airlines,1665,C17,4
D,1/10/2018 4:15:00 PM,American Airlines,551,A3,4
A,1/8/2018 11:25:00 AM,Southwest Airlines,1409,C7,4
D,1/8/2018 11:25:00 AM,American Airlines,669,A23,4
D,1/8/2018 11:25:00 AM,American Airlines,1382,A6,4
D,1/8/2018 11:25:00 AM,Southwest Airlines,2083,D7,4
A,1/8/2018 11:30:00 AM,Delta Air Lines,1921,16,3
A,1/8/2018 11:30:00 AM,Southwest Airlines,2010,C4,4
A,1/8/2018 11:30:00 AM,Southwest Airlines,198,D1,4
D,1/8/2018 11:30:00 AM,American Airlines,684,A24,4
D,1/8/2018 11:30:00 AM,Southwest Airlines,1714,C13,4
D,1/8/2018 11:30:00 AM,Southwest Airlines,696,C9,4
A,1/8/2018 11:35:00 AM,Southwest Airlines,446,D2,4
D,1/8/2018 11:35:00 AM,American Airlines,433,A18,4
D,1/8/2018 11:35:00 AM,American Airlines,663,A20,4
D,1/8/2018 11:35:00 AM,American Airlines,710,A8,4
D,1/8/2018 11:35:00 AM,Southwest Airlines,116,C6,4
D,1/8/2018 11:35:00 AM,Southwest Airlines,985,C8,4
D,1/8/2018 11:35:00 AM,Southwest Airlines,1919,C11,4
A,1/8/2018 11:40:00 AM,Southwest Airlines,345,C1,4
A,1/8/2018 11:41:00 AM,United Airlines,1895,6A,2
A,1/8/2018 11:43:00 AM,American Airlines,1057,B6,4
A,1/8/2018 11:45:00 AM,Southwest Airlines,551,C13,4
A,1/8/2018 11:45:00 AM,Southwest Airlines,972,C14,4
D,1/8/2018 11:45:00 AM,American Airlines,1431,A3,4
D,1/8/2018 11:45:00 AM,Frontier Airlines,1832,20,3
D,1/8/2018 11:45:00 AM,Southwest Airlines,6294,D8,4
D,1/8/2018 11:45:00 AM,Southwest Airlines,1308,C17,4
A,1/8/2018 11:46:00 AM,Delta Air Lines,5724,15,3
A,1/8/2018 11:47:00 AM,Delta Air Lines,1172,18,3
D,1/8/2018 11:49:00 AM,United Airlines,523,3,2
A,1/8/2018 11:50:00 AM,Southwest Airlines,1462,C19,4
D,1/8/2018 11:50:00 AM,United Airlines,1552,6B,2
D,1/8/2018 11:50:00 AM,Southwest Airlines,2071,D5,4
A,1/7/2018 3:54:00 PM,Delta Air Lines,8840,16,3
A,1/8/2018 11:54:00 AM,Air Canada,1837,B23,4
D,1/8/2018 11:54:00 AM,Delta Air Lines,1546,23,3
A,1/8/2018 11:55:00 AM,Southwest Airlines,6,D4,4
A,1/8/2018 11:55:00 AM,Southwest Airlines,1159,C18,4
D,1/8/2018 11:55:00 AM,American Airlines,560,A11,4
D,1/8/2018 11:55:00 AM,Southwest Airlines,1184,C3,4
D,1/8/2018 11:58:00 AM,United Airlines,1680,8,2
A,1/8/2018 11:58:00 AM,United Airlines,725,7,2
A,1/8/2018 12:00:00 PM,Southwest Airlines,5623,C9,4
A,1/8/2018 12:00:00 PM,Southwest Airlines,2144,D7,4
D,1/8/2018 12:00:00 PM,Southwest Airlines,1106,D6,4
A,1/8/2018 12:01:00 PM,American Airlines,1986,A3,4
A,1/8/2018 12:02:00 PM,American Airlines,871,B24,4
A,1/8/2018 12:03:00 PM,American Airlines,208,A7,4
A,1/8/2018 12:04:00 PM,Delta Air Lines,2154,19,3
A,1/8/2018 12:05:00 PM,American Airlines,1785,A20,4
A,1/8/2018 12:05:00 PM,American Airlines,5934,B20,4
A,1/8/2018 12:05:00 PM,Southwest Airlines,1550,C19,4
D,1/8/2018 12:05:00 PM,American Airlines,692,A30,4
A,1/8/2018 12:08:00 PM,American Airlines,2065,A6,4
D,1/8/2018 12:10:00 PM,United Airlines,571,5,2
A,1/8/2018 12:10:00 PM,Southwest Airlines,760,C6,4
A,1/8/2018 12:14:00 PM,American Airlines,612,A9,4
D,1/8/2018 12:15:00 PM,Southwest Airlines,198,D1,4
D,1/8/2018 12:15:00 PM,Southwest Airlines,1409,C3,4
A,1/8/2018 12:15:00 PM,Southwest Airlines,1390,C3,4
D,1/8/2018 12:16:00 PM,Delta Air Lines,5724,15,3
A,1/8/2018 12:18:00 PM,American Airlines,483,A8,4
A,1/8/2018 12:20:00 PM,Southwest Airlines,852,D3,4
D,1/8/2018 12:20:00 PM,Southwest Airlines,345,C1,4
D,1/8/2018 12:20:00 PM,Southwest Airlines,2010,C4,4
A,1/8/2018 12:21:00 PM,American Airlines,668,A23,4
A,1/8/2018 12:22:00 PM,American Airlines,465,A24,4
A,1/8/2018 12:24:00 PM,American Airlines,425,A13,4
D,1/8/2018 12:25:00 PM,Southwest Airlines,446,D2,4
A,1/8/2018 12:26:00 PM,WestJet,1198,B26,4
A,1/8/2018 12:27:00 PM,American Airlines,600,A29,4
A,1/8/2018 12:28:00 PM,American Airlines,594,A10,4
A,1/8/2018 12:29:00 PM,American Airlines,2090,A14,4
D,1/8/2018 12:30:00 PM,WestJet,1323,B27,4
D,1/8/2018 12:30:00 PM,Southwest Airlines,1896,C19,4
D,1/8/2018 12:30:00 PM,Southwest Airlines,6422,C13,4
A,1/8/2018 12:34:00 PM,American Airlines,3154,B3,4
A,1/8/2018 12:35:00 PM,American Airlines,5895,B15A,4
D,1/8/2018 12:35:00 PM,Southwest Airlines,687,D4,4
D,1/8/2018 12:35:00 PM,Southwest Airlines,972,C14,4
A,1/8/2018 12:35:00 PM,Southwest Airlines,753,D5,4
D,1/8/2018 12:36:00 PM,United Airlines,1209,6A,2
A,1/8/2018 12:37:00 PM,American Airlines,3002,B19,4
A,1/8/2018 12:38:00 PM,Alaska Airlines,644,10,2
A,1/8/2018 12:39:00 PM,American Airlines,2994,B1A,4
A,1/8/2018 12:39:00 PM,Spirit Airlines,345,2,2
A,1/8/2018 12:40:00 PM,American Airlines,5930,B5,4
D,1/8/2018 12:40:00 PM,Southwest Airlines,5624,C9,4
A,1/8/2018 12:45:00 PM,American Airlines,1951,A19,4
A,1/8/2018 12:45:00 PM,Southwest Airlines,301,D6,4
D,1/8/2018 12:45:00 PM,Southwest Airlines,5475,C18,4
D,1/8/2018 12:47:00 PM,Delta Air Lines,1172,16,3
A,1/8/2018 12:50:00 PM,Sun Country Airlines,601,1,2
D,1/8/2018 12:50:00 PM,Southwest Airlines,760,C6,4
D,1/7/2018 1:00:00 PM,American Airlines,9630,HB1,4
A,1/7/2018 1:45:00 PM,American Airlines,9630,HB1,4
D,1/7/2018 3:45:00 PM,American Airlines,9365,B16,4
A,1/8/2018 12:55:00 PM,Delta Air Lines,5854,15,3
D,1/8/2018 12:55:00 PM,Southwest Airlines,1390,C6,4
A,1/8/2018 12:56:00 PM,WestJet,1402,B28,4
A,1/8/2018 12:59:00 PM,American Airlines,5925,B2,4
D,1/8/2018 1:00:00 PM,Delta Air Lines,1921,18,3
D,1/8/2018 1:00:00 PM,Southwest Airlines,1550,C19,4
D,1/8/2018 1:00:00 PM,Southwest Airlines,852,D3,4
A,1/8/2018 1:02:00 PM,American Airlines,1271,A5,4
A,1/8/2018 1:03:00 PM,Alaska Airlines,656,11,2
D,1/8/2018 1:05:00 PM,Delta Air Lines,1799,19,3
A,1/8/2018 1:09:00 PM,WestJet,1770,B27,4
D,1/8/2018 1:10:00 PM,American Airlines,1986,A3,4
D,1/8/2018 1:10:00 PM,American Airlines,1785,A20,4
D,1/8/2018 1:10:00 PM,American Airlines,208,B6,4
D,1/8/2018 1:10:00 PM,American Airlines,2527,A7,4
D,1/8/2018 1:10:00 PM,American Airlines,5902,B20,4
D,1/8/2018 1:10:00 PM,Southwest Airlines,753,D5,4
A,1/7/2018 7:40:00 PM,American Airlines,9366,B17,4
A,1/8/2018 1:14:00 PM,Delta Air Lines,1772,23,3
D,1/8/2018 1:15:00 PM,WestJet,1199,B26,4
D,1/10/2018 4:15:00 PM,American Airlines,5928,B21,4
D,1/10/2018 4:15:00 PM,Southwest Airlines,2107,D8,4
D,1/10/2018 4:15:00 PM,Southwest Airlines,5829,C11,4
A,1/10/2018 4:17:00 PM,American Airlines,571,B27,4
A,1/10/2018 4:18:00 PM,United Airlines,364,5,2
A,1/10/2018 4:20:00 PM,Southwest Airlines,6111,C13,4
A,1/10/2018 4:20:00 PM,Southwest Airlines,1889,C6,4
D,1/10/2018 4:20:00 PM,American Airlines,574,B25,4
D,1/10/2018 4:20:00 PM,American Airlines,1369,A19,4
D,1/10/2018 4:20:00 PM,American Airlines,1886,A6,4
D,1/10/2018 4:20:00 PM,Southwest Airlines,6405,C14,4
A,1/10/2018 4:21:00 PM,American Airlines,535,B23,4
A,1/10/2018 4:21:00 PM,Delta Air Lines,899,18,3
D,1/10/2018 4:21:00 PM,American Airlines,2083,A10,4
A,1/10/2018 4:21:00 PM,United Airlines,1797,,2
D,1/10/2018 4:22:00 PM,American Airlines,5927,B18,4
A,1/10/2018 4:24:00 PM,Volaris,974,B26,4
D,1/10/2018 4:24:00 PM,American Airlines,985,A27,4
D,1/10/2018 4:25:00 PM,American Airlines,3037,A1,4
D,1/10/2018 4:25:00 PM,American Airlines,5831,B19,4
D,1/10/2018 4:25:00 PM,American Airlines,5877,B2,4
D,1/10/2018 4:25:00 PM,American Airlines,5942,B1A,4
D,1/10/2018 4:25:00 PM,Southwest Airlines,1412,C18,4
D,1/10/2018 4:27:00 PM,American Airlines,3052,B20,4
A,1/10/2018 4:30:00 PM,Southwest Airlines,1093,C7,4
D,1/10/2018 4:30:00 PM,American Airlines,500,A12,4
D,1/10/2018 4:30:00 PM,American Airlines,424,A7,4
D,1/10/2018 4:30:00 PM,American Airlines,925,A9,4
A,1/10/2018 4:32:00 PM,American Airlines,1422,A24,4
A,1/10/2018 4:34:00 PM,American Airlines,5891,B22,4
D,1/10/2018 4:35:00 PM,American Airlines,614,A2,4
D,1/10/2018 4:35:00 PM,American Airlines,1543,B14,4
D,1/10/2018 4:35:00 PM,American Airlines,429,A20,4
D,1/10/2018 4:35:00 PM,Southwest Airlines,151,D7,4
A,1/10/2018 4:39:00 PM,Frontier Airlines,1865,20,3
A,1/10/2018 4:40:00 PM,American Airlines,711,A5,4
A,1/10/2018 4:40:00 PM,Southwest Airlines,128,C16,4
A,1/10/2018 4:40:00 PM,Southwest Airlines,1474,C9,4
D,1/10/2018 4:40:00 PM,American Airlines,1469,A11,4
D,1/10/2018 4:40:00 PM,American Airlines,2982,B3,4
D,1/10/2018 4:40:00 PM,Southwest Airlines,1739,D6,4
A,1/10/2018 4:43:00 PM,American Airlines,690,A18,4
A,1/10/2018 4:44:00 PM,American Airlines,589,A4,4
A,1/10/2018 4:44:00 PM,American Airlines,1829,A8,4
A,1/10/2018 4:44:00 PM,American Airlines,5853,B2,4
D,1/10/2018 4:45:00 PM,American Airlines,1455,A25,4
A,1/10/2018 4:50:00 PM,Southwest Airlines,1878,C3,4
A,1/10/2018 4:50:00 PM,Southwest Airlines,1966,D6,4
A,1/10/2018 4:50:00 PM,Southwest Airlines,1905,C8,4
D,1/10/2018 4:50:00 PM,American Airlines,484,A21,4
D,1/10/2018 4:50:00 PM,Southwest Airlines,464,C19,4
A,1/10/2018 4:51:00 PM,American Airlines,686,A27,4
A,1/10/2018 4:56:00 PM,American Airlines,636,A6,4
A,1/10/2018 4:57:00 PM,American Airlines,1458,A9,4
A,1/10/2018 4:58:00 PM,American Airlines,5803,B20,4
A,1/10/2018 4:59:00 PM,American Airlines,3146,A1,4
A,1/10/2018 4:59:00 PM,American Airlines,695,A20,4
A,1/10/2018 5:00:00 PM,Southwest Airlines,1657,D3,4
D,1/10/2018 5:00:00 PM,Great Lakes Airlines,3042,9,2
A,1/10/2018 5:03:00 PM,American Airlines,272,A29,4
A,1/10/2018 5:05:00 PM,Southwest Airlines,776,D4,4
D,1/10/2018 5:05:00 PM,Southwest Airlines,1093,C7,4
A,1/10/2018 5:08:00 PM,American Airlines,5712,B1,4
A,1/10/2018 5:09:00 PM,Delta Air Lines,796,17,3
A,1/10/2018 5:10:00 PM,American Airlines,502,B24,4
A,1/10/2018 5:10:00 PM,American Airlines,1371,B14,4
A,1/10/2018 5:11:00 PM,American Airlines,5912,B18,4
A,1/10/2018 5:11:00 PM,American Airlines,1045,A19,4
A,1/10/2018 5:11:00 PM,United Airlines,1811,8,2
A,1/10/2018 5:13:00 PM,American Airlines,5876,B9,4
A,1/10/2018 5:15:00 PM,American Airlines,3178,B7,4
A,1/10/2018 5:15:00 PM,American Airlines,462,A3,4
A,1/10/2018 5:15:00 PM,American Airlines,5812,B1A,4
A,1/10/2018 5:15:00 PM,Delta Air Lines,5800,15,3
A,1/10/2018 5:15:00 PM,Southwest Airlines,5912,D8,4
D,1/10/2018 5:15:00 PM,Southwest Airlines,1710,C13,4
D,1/10/2018 5:15:00 PM,Southwest Airlines,1920,C6,4
D,1/10/2018 5:15:00 PM,United Airlines,739,,2
D,1/10/2018 5:17:00 PM,Delta Air Lines,899,18,3
A,1/10/2018 5:18:00 PM,American Airlines,644,A7,4
A,1/10/2018 5:20:00 PM,Southwest Airlines,5545,C19,4
D,1/10/2018 5:25:00 PM,Southwest Airlines,1474,C9,4
D,1/10/2018 5:25:00 PM,Southwest Airlines,1875,C3,4
D,1/10/2018 5:30:00 PM,American Airlines,634,B23,4
D,1/10/2018 5:30:00 PM,American Airlines,548,B27,4
A,1/10/2018 5:31:00 PM,WestJet,1516,B21,4
D,1/10/2018 5:33:00 PM,United Airlines,772,5,2
D,1/10/2018 5:35:00 PM,American Airlines,1422,A24,4
D,1/10/2018 5:35:00 PM,Southwest Airlines,6433,C8,4
